City,Latitude,Longitude,Capital
Tiruppur,11.104096,77.346402,Tamil Nadu 
Raurkela,22.224964,84.864143,Odisha
Nanded,19.160227,77.314971,Maharashtra
Belgaum,15.862643,74.508534,Karnataka
Sangli,16.856777,74.569196,Maharashtra
Chanda,19.950758,79.295229,Maharashtra
Ajmer,26.452103,74.638667,Rajasthan
Cuttack,20.522922,85.78813,Odisha
Bikaner,28.017623,73.314955,Rajasthan
Bhavnagar,21.774455,72.152496,Gujarat
Hisar,29.153938,75.722944,Haryana
Bilaspur,22.080046,82.155431,Chhattisgarh
Tirunelveli,8.725181,77.684519,Tamil Nadu 
Guntur,16.299737,80.457293,Andhra Pradesh
Shiliguri,26.710035,88.428512,West Bengal
Ujjain,23.182387,75.776433,Madhya Pradesh
Davangere,14.469237,75.92375,Karnataka
Akola,20.709569,76.998103,Maharashtra
Saharanpur,29.967896,77.545221,Uttar Pradesh
Gulbarga,17.335827,76.83757,Karnataka
Bhatpara,22.866431,88.401129,West Bengal
Dhulia,20.901299,74.777373,Maharashtra
Udaipur,24.57951,73.690508,Rajasthan
Bellary,15.142049,76.92398,Karnataka
Tuticorin,8.805038,78.151884,Tamil Nadu 
Kurnool,15.828865,78.036021,Andhra Pradesh
Gaya,24.796858,85.003852,Bihar
Sikar,27.614778,75.138671,Rajasthan
Tumkur,13.341358,77.102203,Karnataka
Kollam,8.881131,76.584694,Kerala
Ahmadnagar,19.094571,74.738432,Maharashtra
Bhilwara,25.347071,74.640812,Rajasthan
Nizamabad,18.673151,78.10008,Andhra Pradesh
Parbhani,19.268553,76.770807,Maharashtra
Shillong,25.573987,91.896807,Meghalaya
Latur,18.399487,76.584252,Maharashtra
Rajapalaiyam,9.451111,77.556121,Tamil Nadu 
Bhagalpur,25.244462,86.971832,Bihar
Muzaffarnagar,29.470914,77.703324,Uttar Pradesh
Muzaffarpur,26.122593,85.390553,Bihar
Mathura,27.503501,77.672145,Uttar Pradesh
Patiala,30.336245,76.392199,Punjab
Saugor,23.838766,78.738738,Madhya Pradesh
Brahmapur,19.311514,84.792903,Odisha
Shahbazpur,27.874116,79.879327,Uttar Pradesh
New Delhi,28.6,77.2,Delhi
Rohtak,28.894473,76.589166,Haryana
Samlaipadar,21.478072,83.990505,Odisha
Ratlam,23.330331,75.040315,Madhya Pradesh
Firozabad,27.150917,78.397808,Uttar Pradesh
Rajahmundry,17.005171,81.777839,Andhra Pradesh
Barddhaman,23.255716,87.856906,West Bengal
Bidar,17.913309,77.530105,Karnataka
Bamanpuri,28.804495,79.040305,Uttar Pradesh
Kakinada,16.960361,82.238086,Andhra Pradesh
Panipat,29.387471,76.968246,Haryana
Khammam,17.247672,80.143682,Andhra Pradesh
Bhuj,23.253972,69.669281,Gujarat
Karimnagar,18.436738,79.13222,Andhra Pradesh
Tirupati,13.635505,79.419888,Andhra Pradesh
Hospet,15.269537,76.387103,Karnataka
Chikka Mandya,12.545602,76.895078,Karnataka
Alwar,27.566291,76.610202,Rajasthan
Aizawl,23.736701,92.714596,Mizoram
Bijapur,16.827715,75.718988,Karnataka
Imphal,24.808053,93.944203,Manipur
Tharati Etawah,26.758236,79.014875,Uttar Pradesh
Raichur,16.205459,77.35567,Karnataka
Pathankot,32.274842,75.652865,Punjab
Chirala,15.823849,80.352187,Andhra Pradesh
Sonipat,28.994778,77.019375,Haryana
Mirzapur,25.144902,82.565335,Uttar Pradesh
Hapur,28.729845,77.780681,Uttar Pradesh
Porbandar,21.641346,69.600868,Gujarat
Bharatpur,27.215251,77.492786,Rajasthan
Puducherry,11.933812,79.829792,Puducherry
Karnal,29.691971,76.984483,Haryana
Nagercoil,8.177313,77.43437,Tamil Nadu 
Thanjavur,10.785233,79.139093,Tamil Nadu 
Pali,25.775125,73.320611,Rajasthan
Agartala,23.836049,91.279386,Tripura
Ongole,15.503565,80.044541,Andhra Pradesh
Puri,19.798254,85.824938,Odisha
Dindigul,10.362853,77.975827,Tamil Nadu 
Haldia,22.025278,88.058333,West Bengal
Bulandshahr,28.403922,77.857731,Uttar Pradesh
Purnea,25.776703,87.473655,Bihar
Proddatur,14.7502,78.548129,Andhra Pradesh
Gurgaon,28.460105,77.026352,Haryana
Khanapur,21.273716,76.117376,Maharashtra
Machilipatnam,16.187466,81.13888,Andhra Pradesh
Bhiwani,28.793044,76.13968,Haryana
Nandyal,15.477994,78.483605,Andhra Pradesh
Bhusaval,21.043649,75.785058,Maharashtra
Bharauri,27.598203,81.694709,Uttar Pradesh
Tonk,26.168672,75.786111,Rajasthan
Sirsa,29.534893,75.028981,Haryana
Vizianagaram,18.11329,83.397743,Andhra Pradesh
Vellore,12.905769,79.137104,Tamil Nadu 
Alappuzha,9.494647,76.331108,Kerala
Shimla,31.104423,77.166623,Himachal Pradesh
Hindupur,13.828065,77.491425,Andhra Pradesh
Baramula,34.209004,74.342853,Jammu and Kashmir
Bakshpur,25.894283,80.792104,Uttar Pradesh
Dibrugarh,27.479888,94.90837,Assam
Saidapur,27.598784,80.75089,Uttar Pradesh
Navsari,20.85,72.916667,Gujarat
Budaun,28.038114,79.126677,Uttar Pradesh
Cuddalore,11.746289,79.764362,Tamil Nadu 
Haripur,31.463218,75.986418,Punjab
Krishnapuram,12.869617,79.719469,Tamil Nadu 
Fyzabad,26.775486,82.150182,Uttar Pradesh
Silchar,24.827327,92.797868,Assam
Ambala,30.360993,76.797819,Haryana
Krishnanagar,23.405761,88.490733,West Bengal
Kolar,13.137679,78.129989,Karnataka
Kumbakonam,10.959789,79.377472,Tamil Nadu 
Tiruvannamalai,12.230204,79.072954,Tamil Nadu 
Pilibhit,28.631245,79.804362,Uttar Pradesh
Abohar,30.144533,74.19552,Punjab
Port Blair,11.666667,92.75,Andaman and Nicobar Islands
Alipur Duar,26.4835,89.522855,West Bengal
Hatisa,27.592698,78.013843,Uttar Pradesh
Valparai,10.325163,76.955299,Tamil Nadu 
Aurangabad,24.752037,84.374202,Bihar
Kohima,25.674673,94.110988,Nagaland
Gangtok,27.325739,88.612155,Sikkim
Karur,10.960277,78.076753,Tamil Nadu 
Jorhat,26.757509,94.203055,Assam
Panaji,15.498289,73.824541,Goa
Saidpur,34.318174,74.457093,Jammu and Kashmir
Tezpur,26.633333,92.8,Assam
Itanagar,27.102349,93.692047,Arunachal Pradesh
Daman,20.414315,72.83236,Daman and Diu
Silvassa,20.273855,72.996728,Dadra and Nagar Haveli
Diu,20.715115,70.987952,Daman and Diu
Dispur,26.135638,91.800688,Assam
Kavaratti,10.566667,72.616667,Lakshadweep
Calicut,11.248016,75.780402,Kerala
Kagaznagar,19.331589,79.466051,Andhra Pradesh
Jaipur,26.913312,75.787872,Rajasthan
Ghandinagar,23.216667,72.683333,Gujarat
Panchkula,30.691512,76.853736,Haryana
